ACTORID,NAME
7975,Shelley Long
197,Alice Krige
7130,Rebecca Jane Klingler
8103,Stephen Baldwin
5511,Madeleine Lebeau
7051,Ralph Peduto
5512,Madeleine Stowe
5350,Lisa Gay Hamilton
8105,Stephen Bridgewater
5351,Lisa Jakub
3731,James Lancaster
5514,Madge Ryan
5190,LeVar Burton
4461,John Murtagh
1950,David Steen
8026,Simonetta Stefanelli
5191,Lea Thompson
4462,John Nathan
3490,Ingrid Bergman
2842,G.D. Spradlin
2761,Frank Novak
8028,Siobhan Fallon
6084,Michael Madsen
7219,Richard Bright
4708,Julia Sweeney
2845,Gabriel Byrne
2764,Frank Oz
6087,Michael Massee
1875,David Early
2848,Gabriel Jarret
2769,Frank Seals Jr.
440,Anthony 'Chip' Brienza
445,Anthony Chinn
446,Anthony Clark
447,Anthony Crivello
448,Anthony Daniels
7141,Reg E. Cathey
7060,Rance Howard
4630,Joseph Mazzello
9005,William Duell
5441,Louis Lombardi
4631,Joseph McKenna
2930,Gene Borkan
5361,Lisa Talerico
4714,Julian Glover
4633,Joseph Patrick Kelly
3580,Jack Conley
8036,Slim Pickens
6254,Mirron E. Willis
5525,Mae Whitman
3581,Jack Creley
1880,David Gant
9009,William Forsythe
5445,Louisa  Marie (I)
5446,Louisa Moritz
5284,Leslie Schofield
4636,Joseph Ragno
5447,Louise Fletcher
5285,Levani
6179,Miguel  Sandoval (I)
3668,James  Keane (I)
2778,Frank Whaley
612,Barry Dennen
1889,David Harold Brown
290,Andre B. Blake
618,Barry McGovern
456,Anthony Guidera
457,Anthony Heald
458,Anthony Higgins
459,Anthony Hopkins
6501,Norwich Duff
5610,Margaret Colin
4720,Julian Wadham
9014,William H. Macy
4803,Karl Warren
3832,Jason Barry
9017,William Hootkins
4562,Jon Matthews
2780,Frankie Faison
9018,William Hope
5535,Maia Brewton
4725,Julie Araskog
4482,John Qualen
3915,Jeannie Linero
6508,Obba Babatund�
4483,John R. Woodward
3754,James Rebhorn
7076,Randy Oglesby
5618,Margaret Tyzack
5537,Majel Barrett
5375,Lloyd L. Tolbert
4808,Kasi Lemmons
3836,Jason Hervey
2864,Garrick Hagon
6349,Nathan George
5296,Lexie Bigham
4567,Jon Seda
4486,John Ratzenberger
3757,James Ritz
3676,James B. Howard
7079,Randy Quaid
4487,John Rhys-Davies
1976,DeVaughn Nixon
1977,Dean Cundey
5299,Liam Carney
703,Bert  Williams (II)
545,Arthur Senzy
8131,Stephen Wesley Bridgewater
5540,Mal Whyte
8133,Sterling Hayden
5703,Mark Hamill
7081,Raphael Sbarge
3841,Jason Marin
5624,Margery Mason
4733,Julie Donatt
5544,Malcolm McDowell
4734,Julie H. Morgan
3682,James Caan
1981,Dean Norris
9029,William Masson
6437,Nicolas Cage
2954,Geoffrey Blake
8139,Steve  Park (I)
6357,Neal McDonough
5547,Malcolm Storry
5548,Malcolm Tierney
4819,Kate Winslet
3767,James Tolkan
4578,Jonathan Frakes
4497,John Savident
3687,James Caviezel
712,Betsy Brantley
555,Aubrey Morris
478,Anthony Sharp
6520,Oliver Maguire
7251,Richard Graham
6360,Ned Bellamy
5551,Mandy Patinkin
4904,Ken Daly
4580,Jonathan Hyde
3932,Jeff Goldblum
4662,Josip Elic
7336,Rick Warner
6364,Ned Vaughn
4906,Ken Gibbel
3772,James Whitmore
3691,James Cosmo
5717,Mark Matheisen
3854,Jay Acovone
8229,Stuart Rudin
8148,Steve Buscemi
7095,Ray Hassett
5395,Loren Dean
6287,Morgan Freeman
5639,Maria de Medeiros
4748,Juliette Binoche
3695,James Cromwell
3777,Jamie Abbott
800,Bill Smitrovich
6289,Morgan Paull
3698,James Deeth
2969,George  Harris (II)
643,Bee Duffell
565,Austin O'Brien
9040,William Redfield
7502,Robert Ruth
9043,William Sadler
7180,Ricco Ross
4831,Kathleen Quinlan
9044,William Sanderson
6371,Neil Giuntoli
5804,Mary Kate Schellhardt
5723,Mark Rolston
4913,Ken Kells
3941,Jeff O'Haco
8154,Steve Giannelli
6453,Nikki Cox
6291,Morgana King
2970,George  Kelly (II)
7183,Rich Turner
6373,Neil Innes
4672,Juan A. Riojas
7265,Richard Kiley
8319,Talia Shire
4593,Jonny Lee Miller
6376,Neil Summers
4594,Jophery C. Brown
2974,George 'Buck' Flower
7268,Richard L. Duran
4919,Ken Magee
6297,Morton Kondracke
4677,Judd Hirsch
5488,Lyman Ward
2979,George C. Scott
2899,Gary Houston
653,Ben Bode
576,B.D. Wong
8322,Tam White
6702,Paul Calderon
5811,Mary McDonnell
7432,Robert Duvall
7270,Richard Le Parmentier
5731,Mark Wheeler
4840,Kathryn Mullen
7271,Richard Leaf
5570,Marc Coppola
6381,Nelson Mashita
4680,Jude Ciccolella
5734,Marla Sucharetza
3952,Jeffrey DeMunn
3791,Jana Marie Hupp
6627,Patrick  Magee (I)
4845,Kathy Bates
5575,Marc McClure
4846,Kathy Griffin
6467,Noel Evangelisti
5739,Marlon Brando
5658,Marina Sirtis
2985,George Christy
823,Billy Crystal
663,Ben Marley
745,Bill  Raymond (I)
826,Billy Dee Williams
827,Billy Devlin
7600,Ron  Rondell (II)
9060,Willie Garson
7603,Ron  Young (I)
7522,Robert Winley
9062,Willoughby Gray
8414,Thom Barry
6390,Niall O'Brien
5823,Marya Small
8173,Steve Rankin
7444,Robert Haley
5905,Meadow Williams
7283,Richard Oldfield
2990,George DiCenzo
8418,Thomas  Crawford (I)
8175,Steve Reevis
7285,Richard Portnow
6394,Nicholas Cascone
5746,Marshall R. Teague
4936,Kenneth Colley
9069,Wolf Kahler
4857,Keenan Wynn
4859,Keir Dullea
3968,Jenette Goldstein
750,Bill Bolender
912,Bokeem Woodbine
671,Benicio Del Toro
590,Barbara Coles
838,Billy Zane
7612,Ron Donachie
6721,Paul Henreid
4860,Keith  Allen (I)
7453,Robert J. Stephenson
7291,Richard Roundtree
8426,Thomas F. Duffy
6482,Norman Alden
8427,Thomas F. Wilson
6645,Patrick McGoohan
4782,Karen Allen
7294,Richard Schiff
8348,Ted Grossman
8186,Steven  Wright (I)
6809,Pete Postlethwaite
8188,Steven Berkoff
7297,Richard Speight Jr.
5758,Martin Ferrero
4948,Kenneth Utt
6488,Norman Chancer
3896,Jean Speegle Howard
4789,Karen Maruyama
844,Blain Fairman
764,Bill Dalzell III
1000,Brian Libby
927,Brad Dourif
1001,Brian Markinson
687,Bernard  Fox (I)
769,Bill Graham
8351,Ted Levine
5921,Mel Gibson
9081,Xander Berkeley
7380,Robert  Beatty (I)
4950,Kenny  Baker (I)
8353,Ted Markland
7705,Rudy Bond
7624,Ron Pitts
7462,Robert Krantz
5923,Mel Smith
8435,Thomas J. Hageboeck
8273,Susan Vidler
7382,Robert  Carlyle (I)
5762,Martin Jarvis
6816,Peter  Greene (I)
6654,Patrick Stewart
6736,Paul Lazar
7547,Robin Wright
6737,Paul LeClair
5684,Mark  Thompson (II)
9087,Yaphet Kotto
5847,Matt Ross
5766,Martin Murphy
5769,Martin Serene
931,Brad Pitt
692,Bernard Hill
694,Bernard Horsfall
859,Bob  Collins (III)
8601,Tom Towles
6902,Peter Schrum
6821,Peter  Mayhew (II)
6741,Paul Mantee
7633,Ron Vawter
6904,Peter Sellers
5770,Martin Sheen
7472,Robert Loggia
6906,Peter Stormare
5691,Mark Boone Jr.
7717,Rupert Vansittart
6745,Paul McCrane
8366,Tere Livrano
7556,Rocky Taylor
7394,Robert  Patrick (I)
6665,Patti Yasutake
4965,Kerry Rossall
5695,Mark Christopher Lawrence
8288,Suzy Amis
6668,Patty Raya
4968,Kevin  Allen (I)
863,Bob  Peck (I)
864,Bob Adrian
1022,Brigitte Kahn
1025,Brion James
7800,Sam Whipple
8530,Todd Hallowell
8612,Tommy Flanagan
7640,Ronald Lacey
8532,Todd Louiso
6670,Paul  Freeman (I)
8616,Tommy Lafitte
6834,Peter Brocco
6754,Paul Raczkowski
6755,Paul Reiser
6674,Paul  Maxwell (I)
6593,Pat McNamara
5864,Matthew Scurfield
4973,Kevin  Thompson (III)
8538,Tom  Mason (I)
8295,Sydney Greenstreet
6837,Peter Bull
8296,Sydney Lassick
4975,Kevin Bacon
6598,Pat Roach
1110,Buzz Kilman
794,Bill Paxton
795,Bill Pullman
1113,Byron Minns
877,Bob Gunton
1033,Bronagh Gallagher
959,Brenda Hillhouse
878,Bob Harks
797,Bill Reimbold
1038,Brooke Smith
7810,Samuel L. Jackson
8621,Tommy Thomas
8382,Terrence Evans
7653,Rosalind Ayres
6924,Phil Kelly
4980,Kevin Cooney
7735,Rutger Hauer
7492,Robert Picardo
6845,Peter Cook
8548,Tom  Wood (II)
7657,Rosanna Arquette
7577,Roger Corman
6848,Peter Crombie
8388,Terry Forrestal
964,Brendan  Kelly (I)
1120,C.J. Bau
1202,Carol Kane
967,Brendan Gleeson
1045,Bruce  Wright (I)
7903,Sean McGinley
6850,Peter Cushing
8390,Terry Gilliam
6851,Peter Dobson
5960,Michael  Bates (I)
8472,Tim Kelleher
8391,Terry Jones
6690,Paul Bartel
7746,Ryan Holihan
4993,Kevin Mangan
6938,Philip  Roth (II)
8397,Terry Richards
6939,Philip  Stone (I)
970,Brent Hinkley
972,Brent Spiner
893,Bob Penny
975,Brett Cullen
1050,Bruce Boa
976,Brett Rice
1051,Bruce Bohne
977,Brian  Cox (III)
1136,Cameron Thor
1139,Camilla Overbye Roos
8720,Tudor Sherrard
7913,Sean Young
8562,Tom Hanks
8481,Tim Robbins
6861,Peter Falk
8725,Tutte Lemkow
7753,S. Epatha Merkerson
8483,Tim Roth
7592,Rohn Thomas
5892,Max Elliott Slade
7756,Sachi Parker
7676,Ross Bagley
5894,Max Grod�nchik
984,Brian Brophy
2111,Diane Baker
1222,Carrie Fisher
1060,Bruce Kirkpatrick
1224,Cary Elwes
2034,Delos V. Smith Jr.
989,Brian Delate
2116,Diane Keaton
8735,Uma Thurman
6873,Peter Kent
8656,Tony Giorgio
7765,Sally Field
7767,Sally Kinghorne
6879,Peter Lorre
2040,Denholm Elliott
2121,Diane Rodriguez
1231,Casey Siemaszko
2203,Don Fellows
2204,Don Fischer
1071,Bruce Willis
2044,Denis Lawson
1155,Carl Bressler
1236,Castulo Guerra
1159,Carl Duering
7930,Shane Rimmer
7770,Sally Wingert
7933,Shannon Wilcox
8908,Warren Clarke
7937,Sharon Anderson
7856,Sayed Badreya
7775,Sam  Anderson (I)
7857,Scatman Crothers
7777,Sam Bottoms
7697,Rozwill Young
5997,Michael Berryman
5998,Michael Biehn
3100,Glenn Beck
1400,Chris Isaak
2212,Don Lake
2132,Dick Cavett
1323,Charles Napier
2052,Denney Pierce
1406,Chris Penn
2217,Don McManus
1084,Buck Kartalian
8911,Warren Keith
8832,Vincent Schiavelli
6891,Peter Mullan
8838,Ving Rhames
8757,Van Ling
8597,Tom Skerritt
7788,Sam Neill
1410,Chris Sarandon
1331,Charles Techman
1413,Christian Clemenson
2304,Douglas Rain
