MOVIEID,ACTORID,ORDINAL
910,8036,7
39,8036,7
16,515,1
39,515,1
48,515,1
94,515,1
180,515,1
263,515,1
321,515,1
334,515,1
410,515,38
440,515,1
471,515,1
629,515,1
746,515,1
932,515,1
960,515,1
1106,515,1
1339,515,1
1551,515,1
1622,515,1
1644,515,2
793,7975,2
910,7975,1
975,7975,3
1353,7975,2
16,12,39
23,13,11
8,19,11
19,30,16
14,38,28
31,45,6
12,47,53
23,74,16
13,75,9
23,77,2
13,106,19
28,121,5
1,134,5
6,134,10
14,146,42
5,156,27
23,157,22
2,180,43
7,184,21
24,184,25
19,185,8
10,189,7
19,197,10
4,210,53
24,220,20
34,244,4
5,246,24
2,257,2
33,258,39
4,261,54
14,290,44
1,355,19
4,406,96
19,424,24
21,427,58
21,440,23
10,445,19
26,446,46
8,447,65
1,448,6
6,448,5
26,456,59
14,457,6
10,458,9
14,459,11
31,478,18
32,503,9
30,545,55
31,555,13
30,565,52
32,576,7
13,590,22
4,612,80
5,618,22
18,643,10
30,653,36
30,663,13
9,671,3
4,687,27
4,692,6
5,694,46
9,703,32
15,712,17
21,745,10
7,750,43
14,764,45
28,769,31
4,794,10
13,794,6
30,794,3
8,795,2
10,797,13
8,800,18
15,823,13
6,826,4
26,827,31
4,838,3
25,838,14
13,844,21
24,859,15
32,863,5
21,864,7
7,877,3
12,878,45
12,893,10
26,912,12
34,927,30
21,931,18
24,931,4
2,959,26
26,964,15
5,967,6
14,970,40
8,972,12
19,972,3
30,975,10
12,976,33
5,977,19
7,984,53
7,989,34
7,1000,12
30,1001,50
6,1022,37
3,1025,8
2,1033,12
14,1038,17
30,1045,71
6,1050,25
20,1051,22
21,1060,15
2,1071,9
21,1071,2
26,1084,64
6,1098,38
2,1099,8
27,1099,23
14,1110,50
12,1113,71
19,1120,26
32,1136,14
4,1139,31
9,1155,12
31,1159,7
8,1181,35
18,1199,8
15,1202,12
1,1222,3
6,1222,3
15,1224,1
25,1231,13
9,1236,30
16,1236,8
16,1280,42
24,1280,55
14,1323,34
21,1331,32
4,1345,26
9,1357,6
30,1394,23
14,1400,46
27,1406,4
15,1410,3
30,1413,9
8,1421,79
9,1423,15
15,1453,4
30,1457,39
32,1457,15
25,1462,2
34,1462,17
6,1464,26
21,1467,49
21,1474,45
2,1479,27
14,1486,21
26,1505,18
7,1515,5
17,1531,4
30,1556,12
33,1559,10
6,1560,15
13,1569,12
33,1574,6
28,1580,19
18,1586,7
25,1621,26
4,1625,45
25,1634,4
19,1639,31
17,1640,14
28,1682,24
14,1692,26
9,1695,10
8,1697,32
16,1704,28
24,1748,3
14,1749,47
14,1763,38
34,1764,7
4,1776,8
26,1776,17
12,1782,55
3,1806,6
30,1822,7
12,1824,37
21,1837,31
26,1837,5
8,1838,28
4,1841,9
26,1851,21
14,1875,43
5,1880,56
25,1889,40
7,1932,13
1,1933,9
6,1933,6
31,1933,25
20,1941,31
27,1950,12
16,1976,33
32,1977,17
16,1981,41
34,2034,28
10,2040,6
1,2044,16
6,2044,27
16,2052,45
28,2071,8
8,2089,73
8,2090,54
14,2111,31
23,2116,10
16,2121,37
12,2132,89
12,2146,80
24,2185,19
1,2189,22
2,2196,33
14,2197,8
10,2203,11
12,2204,46
19,2204,33
16,2212,21
7,2217,35
16,2229,27
19,2230,30
5,2233,36
25,2241,16
7,2254,36
11,2304,9
24,2323,57
26,2323,25
26,2340,44
34,2341,18
16,2358,5
26,2377,3
30,2377,5
10,2411,31
27,2432,9
16,2433,3
3,2441,4
8,2475,95
4,2536,49
25,2536,19
8,2538,60
30,2547,18
24,2555,12
30,2555,45
16,2557,20
4,2563,25
2,2567,20
18,2570,3
2,2581,14
4,2588,75
22,2645,1
4,2646,18
22,2647,2
22,2679,25
4,2705,5
20,2710,20
23,2718,33
10,2726,28
11,2727,10
30,2740,83
21,2751,22
7,2759,24
9,2759,21
8,2761,23
6,2764,9
14,2769,9
2,2778,7
14,2780,7
28,2816,4
8,2817,94
21,2820,20
28,2842,9
9,2845,2
30,2848,38
1,2864,17
20,2899,7
7,2903,29
25,2911,35
12,2913,3
30,2913,4
19,2917,6
14,2930,22
24,2930,22
12,2954,83
30,2954,31
10,2969,30
12,2970,9
25,2974,37
35,2979,2
24,2985,11
25,2990,9
32,3046,12
16,3052,25
5,3054,45
9,3067,9
23,3069,13
35,3100,12
4,3118,11
31,3121,14
30,3123,25
7,3125,20
18,3144,1
25,3156,39
8,3161,53
26,3161,14
26,3192,10
16,3216,26
24,3218,5
35,3227,15
24,3270,47
1,3272,2
3,3272,1
6,3272,2
10,3272,1
28,3272,10
8,3284,20
29,3285,4
14,3294,51
25,3297,15
20,3301,5
8,3304,10
2,3308,45
27,3308,1
24,3317,13
24,3333,49
29,3340,9
26,3426,38
22,3443,22
17,3448,1
5,3455,8
29,3462,6
6,3463,30
26,3489,35
17,3490,2
21,3506,12
10,3519,23
25,3526,21
33,3528,8
25,3547,12
26,3561,42
6,3563,32
8,3564,62
30,3580,69
35,3581,9
34,3603,21
1,3609,12
6,3609,12
9,3611,14
19,3611,17
28,3613,21
28,3668,14
14,3676,19
23,3682,3
26,3687,60
5,3691,12
22,3691,8
19,3695,9
24,3698,53
8,3703,13
35,3704,7
3,3722,11
7,3727,49
4,3731,48
8,3754,9
30,3757,41
25,3767,11
7,3772,8
25,3777,30
8,3791,43
30,3804,59
4,3832,17
25,3836,24
25,3841,22
8,3854,40
30,3896,21
23,3915,27
8,3932,3
32,3932,3
25,3941,28
7,3952,9
4,3968,30
13,3968,8
16,3968,10
1,4006,20
8,4020,96
6,4027,33
28,4038,11
30,4097,33
16,4101,24
8,4102,93
14,4103,16
5,4117,54
3,4143,10
14,4164,1
12,4168,95
8,4184,68
16,4201,6
5,4213,55
30,4216,16
3,4221,9
21,4239,14
6,4265,11
8,4278,99
6,4281,29
18,4297,11
8,4320,36
24,4331,26
26,4331,9
8,4335,52
20,4337,21
24,4340,6
23,4341,14
18,4345,2
31,4346,5
30,4370,78
26,4373,61
7,4407,19
29,4411,5
5,4418,23
26,4422,36
13,4424,24
30,4435,84
23,4441,7
5,4461,41
26,4462,40
17,4482,12
7,4483,45
6,4486,31
10,4487,5
31,4497,17
30,4508,35
26,4510,4
8,4516,22
2,4520,4
12,4526,59
4,4527,56
8,4562,92
21,4567,3
19,4578,2
4,4580,7
22,4593,3
32,4594,18
2,4612,21
32,4630,8
21,4631,54
26,4633,34
7,4636,14
34,4662,9
26,4672,33
8,4677,5
7,4680,15
2,4708,46
6,4714,17
33,4720,7
24,4725,23
30,4733,81
19,4734,28
33,4748,2
10,4782,2
2,4789,36
21,4803,48
14,4808,3
4,4819,2
30,4831,6
6,4840,14
4,4845,4
2,4846,37
35,4857,4
11,4859,1
22,4860,16
9,4904,18
16,4906,13
26,4913,62
7,4919,41
6,4936,16
14,4948,25
1,4950,7
6,4950,8
28,4965,15
22,4968,17
3,4973,13
30,4975,2
8,4980,82
12,4993,26
9,5000,4
8,5003,59
9,5004,5
24,5004,30
21,5005,52
8,5040,89
10,5046,24
13,5046,26
27,5048,8
12,5052,38
33,5067,4
14,5102,53
13,5109,5
7,5126,10
20,5126,16
32,5154,2
2,5161,3
14,5169,52
28,5173,7
2,5181,47
27,5181,17
14,5185,4
27,5186,6
19,5190,4
25,5191,3
21,5200,53
25,5203,10
33,5208,19
14,5220,14
8,5227,25
24,5227,43
24,5233,35
23,5235,18
11,5259,5
4,5266,1
17,5267,13
1,5284,24
8,5285,57
24,5296,44
5,5299,50
33,5305,16
16,5323,2
2,5328,39
27,5328,18
4,5329,32
25,5348,17
21,5350,40
8,5351,15
21,5361,59
25,5375,41
30,5395,11
9,5441,20
30,5445,53
34,5446,20
34,5447,11
8,5488,64
3,5501,5
17,5511,9
21,5512,13
31,5514,16
8,5525,17
25,5535,25
19,5537,25
5,5540,57
31,5544,1
15,5547,15
5,5548,31
15,5551,2
28,5570,28
25,5575,7
30,5575,14
